Source: ACS 1-Year Estimates Public Use Microdata Sample 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weight used: WGTP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Universe: selected geographies: Berkshire County--Pittsfiel..., Franklin & Hampshire (North..., Worcester County (Central)-..., Worcester County (Northeast..., Worcester County (West Cent..., Worcester County (East Cent..., Worcester County (South) PU..., Worcester & Middlesex Count..., Middlesex County (Outside L..., Middlesex County (Far North..., Middlesex County--Waltham C..., Middlesex County (South)--F..., Middlesex County--Watertown..., Middlesex County (East)--Ca..., Middlesex County (East)--So..., Middlesex County (East)--Ma..., Essex County (Northwest)--L..., Essex County (Central)--Ame..., Essex County (East)--Salem,..., Essex County (South)--Lynn ..., Peabody City, Danvers, Read..., Billerica, Andover, Tewksbu..., Middlesex (West Central) & ..., Hampden (West & East) & Ham..., Hampden County (Central)--S..., Hampden County (West of Spr..., Hampden County (East of Spr..., Middlesex (Far Southwest), ..., Woburn, Melrose Cities, Sau..., Boston City--Allston, Brigh..., Boston City--Back Bay, Beac..., Boston City--Dorchester & S..., Boston City--Mattapan & Rox..., Boston City--Hyde Park, Jam..., Suffolk County (North)--Rev..., Middlesex (Southeast) & Nor..., Norfolk (Northeast) & Middl..., Norfolk County (Southwest)-..., Norfolk County (Central)--R..., Norfolk County (Northeast)-..., Weymouth Town, Braintree To..., Plymouth & Norfolk Counties..., Attleboro City, North Attle..., Bristol (Outside New Bedfor..., Bristol County (Central)--F..., Bristol County--Taunton Cit..., Bristol County (South)--New..., Barnstable County (West)--I..., Barnstable (East), Dukes & ..., Plymouth & Bristol Counties..., Plymouth County (Central) P..., Plymouth County (East)--Ply...; Tenure (TEN): all except: N/A  (GQ/vacant); Units in structure (BLD): all except: N/A (GQ)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Tenure (TEN),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Owned with mortgage or loan (include home equity loans),,,,,,,,,,Owned Free And Clear,,,,,,,,,,Rented,,,,,,,,,,Occupied without payment of rent,,,,,,,,,
,Units in structure (BLD),,,,,,,,,,Units in structure (BLD),,,,,,,,,,Units in structure (BLD),,,,,,,,,,Units in structure (BLD),,,,,,,,,
Selected Geographies,Mobile Home or Trailer,One-family house detached,One-family house attached,2 Apartments,3-4 Apartments,5-9 Apartments,10-19 Apartments,20-49 Apartments,50 or More Apartments,"Boat, RV, van, etc.",Mobile Home or Trailer,One-family house detached,One-family house attached,2 Apartments,3-4 Apartments,5-9 Apartments,10-19 Apartments,20-49 Apartments,50 or More Apartments,"Boat, RV, van, etc.",Mobile Home or Trailer,One-family house detached,One-family house attached,2 Apartments,3-4 Apartments,5-9 Apartments,10-19 Apartments,20-49 Apartments,50 or More Apartments,"Boat, RV, van, etc.",Mobile Home or Trailer,One-family house detached,One-family house attached,2 Apartments,3-4 Apartments,5-9 Apartments,10-19 Apartments,20-49 Apartments,50 or More Apartments,"Boat, RV, van, etc."
"Berkshire County--Pittsfield City PUMA, Massachusetts",0,0,0,0,0,,0,,0,,0,0,0,0,0,,0,0,,,101,47,14,35,47,32,31,55,45,,,0,0,,,,,,,
"Franklin & Hampshire (North) Counties PUMA, Massachusetts",0,0,0,0,0,0,,,,,0,0,0,0,0,0,,0,0,,20,37,28,35,40,49,42,42,41,,0,0,,0,0,0,,,,
"Worcester County (Central)--Worcester City PUMA, Massachusetts",,0,0,0,0,0,0,0,0,,,0,0,0,0,,0,0,,,,41,58,38,37,35,33,28,42,,0,0,,,0,0,,,,
"Worcester County (Northeast)--Leominster, Fitchburg & Gardner Cities PUMA; Massachusetts",0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,0,,,70,41,34,36,34,49,45,30,,,0,,,0,,,,,
"Worcester County (West Central) PUMA, Massachusetts",0,0,0,0,0,0,,,,,0,0,0,0,0,,,0,,,,29,44,50,20,44,34,47,44,,,0,0,0,,,,,,
"Worcester County (East Central) PUMA, Massachusetts",,0,0,0,0,0,0,0,,,,0,0,0,0,,0,0,0,,,44,24,34,43,37,44,35,33,,,0,,,,,,,,
"Worcester County (South) PUMA, Massachusetts",0,0,0,0,0,0,0,,,,0,0,0,0,0,,0,0,0,,,29,55,50,42,44,26,34,39,,,0,,0,0,,,,0,
"Worcester & Middlesex Counties (Outside Leominster, Fitchburg & Gardner Cities) PUMA; Massachusetts",,0,0,0,0,,,,,,0,0,0,0,0,,,,,,,24,22,55,34,35,51,21,39,,,0,0,0,0,,,0,,0
"Middlesex County (Outside Lowell City) PUMA, Massachusetts",,0,0,0,0,0,0,0,,,0,0,0,,0,0,0,0,,,,64,35,37,42,89,26,70,48,,,0,,,,,,,,
