Source: ACS 1-Year Estimates Public Use Microdata Sample 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weight used: WGTP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Universe: selected geographies: Berkshire County--Pittsfiel..., Franklin & Hampshire (North..., Worcester County (Central)-..., Worcester County (Northeast..., Worcester County (West Cent..., Worcester County (East Cent..., Worcester County (South) PU..., Worcester & Middlesex Count..., Middlesex County (Outside L..., Middlesex County (Far North..., Middlesex County--Waltham C..., Middlesex County (South)--F..., Middlesex County--Watertown..., Middlesex County (East)--Ca..., Middlesex County (East)--So..., Middlesex County (East)--Ma..., Essex County (Northwest)--L..., Essex County (Central)--Ame..., Essex County (East)--Salem,..., Essex County (South)--Lynn ..., Peabody City, Danvers, Read..., Billerica, Andover, Tewksbu..., Middlesex (West Central) & ..., Hampden (West & East) & Ham..., Hampden County (Central)--S..., Hampden County (East of Spr..., Hampden County (West of Spr..., Middlesex (Far Southwest), ..., Woburn, Melrose Cities, Sau..., Boston City--Allston, Brigh..., Boston City--Back Bay, Beac..., Boston City--Dorchester & S..., Boston City--Mattapan & Rox..., Boston City--Hyde Park, Jam..., Suffolk County (North)--Rev..., Middlesex (Southeast) & Nor..., Norfolk (Northeast) & Middl..., Norfolk County (Southwest)-..., Norfolk County (Central)--R..., Norfolk County (Northeast)-..., Weymouth Town, Braintree To..., Plymouth & Norfolk Counties..., Attleboro City, North Attle..., Bristol (Outside New Bedfor..., Bristol County (Central)--F..., Bristol County--Taunton Cit..., Bristol County (South)--New..., Barnstable County (West)--I..., Barnstable (East), Dukes & ..., Plymouth & Bristol Counties..., Plymouth County (Central) P..., Plymouth County (East)--Ply...; Tenure (TEN): all except: N/A  (GQ/vacant)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Units in structure (BLD),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,N/A (GQ),,,,Mobile Home or Trailer,,,,One-family house detached,,,,One-family house attached,,,,2 Apartments,,,,3-4 Apartments,,,,5-9 Apartments,,,,10-19 Apartments,,,,20-49 Apartments,,,,50 or More Apartments,,,,"Boat, RV, van, etc.",,,
,Tenure (TEN),,,,Tenure (TEN),,,,Tenure (TEN),,,,Tenure (TEN),,,,Tenure (TEN),,,,Tenure (TEN),,,,Tenure (TEN),,,,Tenure (TEN),,,,Tenure (TEN),,,,Tenure (TEN),,,,Tenure (TEN),,,
Selected Geographies,Owned with mortgage or loan (include home equity loans),Owned Free And Clear,Rented,Occupied without payment of rent,Owned with mortgage or loan (include home equity loans),Owned Free And Clear,Rented,Occupied without payment of rent,Owned with mortgage or loan (include home equity loans),Owned Free And Clear,Rented,Occupied without payment of rent,Owned with mortgage or loan (include home equity loans),Owned Free And Clear,Rented,Occupied without payment of rent,Owned with mortgage or loan (include home equity loans),Owned Free And Clear,Rented,Occupied without payment of rent,Owned with mortgage or loan (include home equity loans),Owned Free And Clear,Rented,Occupied without payment of rent,Owned with mortgage or loan (include home equity loans),Owned Free And Clear,Rented,Occupied without payment of rent,Owned with mortgage or loan (include home equity loans),Owned Free And Clear,Rented,Occupied without payment of rent,Owned with mortgage or loan (include home equity loans),Owned Free And Clear,Rented,Occupied without payment of rent,Owned with mortgage or loan (include home equity loans),Owned Free And Clear,Rented,Occupied without payment of rent,Owned with mortgage or loan (include home equity loans),Owned Free And Clear,Rented,Occupied without payment of rent
"Berkshire County--Pittsfield City PUMA, Massachusetts",0,0,0,0,86,459,52,0,21996,13091,1488,598,1026,631,212,40,1523,527,2669,0,169,200,4967,0,0,0,2573,0,162,738,1397,0,0,163,1941,0,36,0,1020,0,0,0,0,0
"Franklin & Hampshire (North) Counties PUMA, Massachusetts",0,0,0,0,107,652,221,44,16037,9778,3066,964,909,833,508,0,1195,324,1809,120,414,237,2191,40,28,64,2016,88,0,0,1619,0,0,211,919,0,0,55,1114,0,0,0,0,0
"Worcester County (Central)--Worcester City PUMA, Massachusetts",0,0,0,0,0,0,0,113,15653,6530,2454,530,1739,1113,1784,0,1780,625,3200,0,1148,724,16675,174,567,0,6004,154,457,551,3527,0,426,613,2423,0,387,0,6714,0,0,0,0,0
"Worcester County (Northeast)--Leominster, Fitchburg & Gardner Cities PUMA; Massachusetts",0,0,0,0,63,241,0,0,18172,9085,1297,590,3184,221,570,0,1109,1197,2368,0,529,345,4428,82,380,99,3661,0,0,0,1239,0,202,287,2262,0,0,287,3114,0,0,0,0,0
"Worcester County (West Central) PUMA, Massachusetts",0,0,0,0,248,305,0,0,23770,10275,1769,392,2006,524,543,49,828,396,1166,141,141,234,1726,0,72,0,747,0,0,0,1279,0,0,453,747,0,0,0,255,0,0,0,0,0
"Worcester County (East Central) PUMA, Massachusetts",0,0,0,0,0,0,0,0,20688,9082,2041,293,2295,1290,1629,0,1029,151,1482,0,168,111,1510,0,495,0,1370,0,53,173,1528,0,65,269,1195,0,0,94,2456,0,0,0,0,0
"Worcester County (South) PUMA, Massachusetts",0,0,0,0,98,194,0,0,28467,10044,1610,217,1650,1104,1355,0,1099,745,2576,49,355,67,4669,112,437,0,3322,0,349,66,959,0,0,76,544,0,0,134,924,93,0,0,0,0
