Source: ACS 1-Year Estimates Public Use Microdata Sample 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weight used: WGTP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Universe: selected geographies: Berkshire County--Pittsfiel..., Franklin & Hampshire (North..., Worcester County (Central)-..., Worcester County (Northeast..., Worcester County (West Cent..., Worcester County (East Cent..., Worcester County (South) PU..., Worcester & Middlesex Count..., Middlesex County (Outside L..., Middlesex County (Far North..., Middlesex County--Waltham C..., Middlesex County (South)--F..., Middlesex County--Watertown..., Middlesex County (East)--Ca..., Middlesex County (East)--So..., Middlesex County (East)--Ma..., Essex County (Northwest)--L..., Essex County (Central)--Ame..., Essex County (East)--Salem,..., Essex County (South)--Lynn ..., Peabody City, Danvers, Read..., Billerica, Andover, Tewksbu..., Middlesex (West Central) & ..., Hampden (West & East) & Ham..., Hampden County (Central)--S..., Hampden County (West of Spr..., Hampden County (East of Spr..., Middlesex (Far Southwest), ..., Woburn, Melrose Cities, Sau..., Boston City--Allston, Brigh..., Boston City--Back Bay, Beac..., Boston City--Dorchester & S..., Boston City--Mattapan & Rox..., Boston City--Hyde Park, Jam..., Suffolk County (North)--Rev..., Middlesex (Southeast) & Nor..., Norfolk (Northeast) & Middl..., Norfolk County (Southwest)-..., Norfolk County (Central)--R..., Norfolk County (Northeast)-..., Weymouth Town, Braintree To..., Plymouth & Norfolk Counties..., Attleboro City, North Attle..., Bristol (Outside New Bedfor..., Bristol County (Central)--F..., Bristol County--Taunton Cit..., Bristol County (South)--New..., Barnstable County (West)--I..., Barnstable (East), Dukes & ..., Plymouth & Bristol Counties..., Plymouth County (Central) P..., Plymouth County (East)--Ply...; Tenure (TEN): all except: N/A  (GQ/vacant); Units in structure (BLD): all except: N/A (GQ)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Tenure (TEN),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Owned with mortgage or loan (include home equity loans),,,,,,,,,,Owned Free And Clear,,,,,,,,,,Rented,,,,,,,,,,Occupied without payment of rent,,,,,,,,,
,Units in structure (BLD),,,,,,,,,,Units in structure (BLD),,,,,,,,,,Units in structure (BLD),,,,,,,,,,Units in structure (BLD),,,,,,,,,
Selected Geographies,Mobile Home or Trailer,One-family house detached,One-family house attached,2 Apartments,3-4 Apartments,5-9 Apartments,10-19 Apartments,20-49 Apartments,50 or More Apartments,"Boat, RV, van, etc.",Mobile Home or Trailer,One-family house detached,One-family house attached,2 Apartments,3-4 Apartments,5-9 Apartments,10-19 Apartments,20-49 Apartments,50 or More Apartments,"Boat, RV, van, etc.",Mobile Home or Trailer,One-family house detached,One-family house attached,2 Apartments,3-4 Apartments,5-9 Apartments,10-19 Apartments,20-49 Apartments,50 or More Apartments,"Boat, RV, van, etc.",Mobile Home or Trailer,One-family house detached,One-family house attached,2 Apartments,3-4 Apartments,5-9 Apartments,10-19 Apartments,20-49 Apartments,50 or More Apartments,"Boat, RV, van, etc."
"Berkshire County--Pittsfield City PUMA, Massachusetts",43,27,22,48,24,,55,,10,,39,18,36,21,12,,45,7,,,0,0,0,0,0,0,0,0,0,,,0,0,,,,,,,
"Franklin & Hampshire (North) Counties PUMA, Massachusetts",37,29,27,29,39,13,,,,,31,18,14,14,15,32,,13,17,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,,,,
"Worcester County (Central)--Worcester City PUMA, Massachusetts",,26,21,33,60,26,51,86,34,,,22,18,34,34,,9,8,,,,0,0,0,0,0,0,0,0,,0,0,,,0,0,,,,
"Worcester County (Northeast)--Leominster, Fitchburg & Gardner Cities PUMA; Massachusetts",32,25,38,21,35,17,,39,,,55,17,13,22,27,48,,22,14,,,0,0,0,0,0,0,0,0,,,0,,,0,,,,,
"Worcester County (West Central) PUMA, Massachusetts",51,24,28,52,54,30,,,,,21,18,22,13,36,,,25,,,,0,0,0,0,0,0,0,0,,,0,0,0,,,,,,
"Worcester County (East Central) PUMA, Massachusetts",,26,22,30,31,27,21,18,,,,19,33,11,35,,85,8,22,,,0,0,0,0,0,0,0,0,,,0,,,,,,,,
"Worcester County (South) PUMA, Massachusetts",40,24,32,26,24,42,101,,,,22,16,18,22,11,,9,8,9,,,0,0,0,0,0,0,0,0,,,0,,0,0,,,,0,
"Worcester & Middlesex Counties (Outside Leominster, Fitchburg & Gardner Cities) PUMA; Massachusetts",,25,29,31,29,,,,,,18,19,31,9,26,,,,,,,0,0,0,0,0,0,0,0,,,0,0,0,0,,,0,,0
"Middlesex County (Outside Lowell City) PUMA, Massachusetts",,25,35,24,20,20,26,31,,,10,16,46,,21,20,13,59,,,,0,0,0,0,0,0,0,0,,,0,,,,,,,,
